month,kpix
1998.3333333333333,0.8
1998.4166666666667,0.5
1998.5,0.7
1998.5833333333333,0.9
1998.6666666666667,0.3
1998.75,0.4
1998.8333333333333,0.3
1998.9166666666667,0.3
1999.0,1.2
1999.0833333333333,1.3
1999.1666666666667,1.6
1999.25,1.5
1999.3333333333333,1.3
1999.4166666666667,1.7
1999.5,1.4
1999.5833333333333,1.6
1999.6666666666667,2.0
1999.75,1.8
1999.8333333333333,1.7
1999.9166666666667,2.0
2000.0,0.8
2000.0833333333333,1.2
2000.1666666666667,1.1
2000.25,0.7
2000.3333333333333,1.0
2000.4166666666667,0.8
2000.5,0.7
2000.5833333333333,0.8
2000.6666666666667,0.8
2000.75,0.9
2000.8333333333333,1.2
2000.9166666666667,0.8
2001.0,1.3
2001.0833333333333,1.3
2001.1666666666667,1.6
2001.25,2.7
2001.3333333333333,2.9
2001.4166666666667,2.7
2001.5,2.6
2001.5833333333333,2.8
2001.6666666666667,3.1
2001.75,2.8
2001.8333333333333,2.8
2001.9166666666667,3.1
2002.0,3.2
2002.0833333333333,3.1
2002.1666666666667,3.2
2002.25,2.6
2002.3333333333333,2.0
2002.4166666666667,2.0
2002.5,2.2
2002.5833333333333,2.1
2002.6666666666667,1.7
2002.75,2.1
2002.8333333333333,1.9
2002.9166666666667,2.0
2003.0,2.5
2003.0833333333333,3.2
2003.1666666666667,2.8
2003.25,2.2
2003.3333333333333,1.9
2003.4166666666667,2.0
2003.5,2.2
2003.5833333333333,2.1
2003.6666666666667,2.0
2003.75,1.7
2003.8333333333333,1.8
2003.9166666666667,1.6
2004.0,1.0
2004.0833333333333,0.0
2004.1666666666667,0.3
2004.25,0.8
2004.3333333333333,1.3
2004.4166666666667,0.9
2004.5,1.0
2004.5833333333333,0.9
2004.6666666666667,0.9
2004.75,1.2
2004.8333333333333,0.8
2004.9166666666667,0.7
2005.0,0.4
2005.0833333333333,1.1
2005.1666666666667,0.5
2005.25,0.4
2005.3333333333333,0.2
2005.4166666666667,0.7
2005.5,0.7
2005.5833333333333,1.0
2005.6666666666667,1.0
2005.75,0.8
2005.8333333333333,1.1
2005.9166666666667,1.2
2006.0,0.9
2006.0833333333333,0.8
2006.1666666666667,1.2
2006.25,1.5
2006.3333333333333,1.6
2006.4166666666667,1.5
2006.5,1.4
2006.5833333333333,1.2
2006.6666666666667,1.0
2006.75,1.0
2006.8333333333333,1.3
2006.9166666666667,1.2
2007.0,1.2
2007.0833333333333,1.3
2007.1666666666667,1.2
2007.25,1.2
2007.3333333333333,0.9
2007.4166666666667,1.0
2007.5,1.0
2007.5833333333333,0.7
2007.6666666666667,1.0
2007.75,1.4
2007.8333333333333,1.9
2007.9166666666667,2.0
2008.0,2.1
2008.0833333333333,2.0
2008.1666666666667,2.3
2008.25,2.3
2008.3333333333333,2.8
2008.4166666666667,3.1
2008.5,3.0
2008.5833333333333,3.2
2008.6666666666667,3.4
2008.75,2.7
2008.8333333333333,1.6
2008.9166666666667,1.4
2009.0,1.7
2009.0833333333333,1.9
2009.1666666666667,1.5
2009.25,1.4
2009.3333333333333,1.3
2009.4166666666667,1.2
2009.5,1.3
2009.5833333333333,1.4
2009.6666666666667,0.9
2009.75,1.4
2009.8333333333333,1.9
2009.9166666666667,2.4
2010.0,2.6
2010.0833333333333,2.6
2010.1666666666667,2.4
2010.25,2.0
2010.3333333333333,1.8
2010.4166666666667,1.6
2010.5,1.1
2010.5833333333333,1.2
2010.6666666666667,1.5
2010.75,1.5
2010.8333333333333,1.6
2010.9166666666667,2.0
2011.0,1.1
2011.0833333333333,1.0
2011.1666666666667,1.1
2011.25,1.5
2011.3333333333333,1.4
2011.4166666666667,1.2
2011.5,1.4
2011.5833333333333,1.4
2011.6666666666667,1.3
2011.75,0.9
2011.8333333333333,0.9
2011.9166666666667,0.3
2012.0,1.0
2012.0833333333333,1.2
2012.1666666666667,1.2
2012.25,1.1
2012.3333333333333,1.0
2012.4166666666667,1.1
2012.5,0.9
2012.5833333333333,1.0
2012.6666666666667,1.1
2012.75,1.3
2012.8333333333333,0.9
2012.9166666666667,1.2
2013.0,0.7
2013.0833333333333,0.5
2013.1666666666667,0.6
2013.25,0.1
2013.3333333333333,0.3
2013.4166666666667,0.5
2013.5,0.8
2013.5833333333333,0.8
2013.6666666666667,0.5
2013.75,0.2
2013.8333333333333,0.3
2013.9166666666667,0.3
2014.0,0.1
2014.0833333333333,0.1
2014.1666666666667,-0.4
2014.25,0.2
2014.3333333333333,0.1
2014.4166666666667,0.5
2014.5,0.3
2014.5833333333333,0.2
2014.6666666666667,0.0
2014.75,0.3
2014.8333333333333,0.3
2014.9166666666667,0.2
2015.0,0.1
2015.0833333333333,0.4
2015.1666666666667,0.5
2015.25,0.2
2015.3333333333333,0.6
2015.4166666666667,0.1
2015.5,0.5
2015.5833333333333,0.4
2015.6666666666667,0.6
2015.75,0.7
2015.8333333333333,0.6
2015.9166666666667,0.5
