nBids,PowerSeller,VerifyID,Sealed,Minblem,MajBlem,LargNeg,LogBook,MinBidShare,Sold
12,1,0,0,0,0,0,-0.3621,-0.3668,True
0,0,0,0,0,0,0,-0.9142,0.1592,False
4,0,0,0,0,0,0,0.0534,-0.2597,True
5,0,0,0,0,0,0,-0.3033,-0.1234,True
5,1,0,0,0,0,0,-0.9738,-0.1375,True
4,1,0,0,0,0,0,-0.9142,-0.1629,True
1,0,0,0,0,0,0,0.0332,0.0342,True
4,1,0,0,0,1,0,0.0332,-0.3336,True
3,1,0,0,0,1,0,0.5108,-0.4263,True
3,0,0,0,0,0,0,0.5108,-0.3498,True
4,0,0,1,0,0,0,0.8863,-0.4911,True
2,0,0,0,0,0,0,-0.3621,-0.2284,True
1,1,0,0,1,0,0,-0.3621,0.1793,True
6,0,0,0,0,0,0,1.4347,-0.2098,True
1,1,0,0,0,0,1,-1.0254,0.2388,True
5,1,0,0,0,1,0,0.5108,-0.4263,True
7,0,0,0,0,1,0,1.0758,-0.4685,True
0,1,0,0,0,0,0,0.6073,-0.1745,False
5,0,0,0,1,0,0,1.4347,-0.4673,True
0,1,1,0,0,0,0,0.0332,0.6019,False
6,0,0,0,0,0,0,1.4347,-0.4673,True
6,0,0,0,0,0,0,1.0758,-0.3653,True
3,0,0,0,0,0,0,0.3295,-0.3504,True
0,1,0,0,0,1,0,0.5108,-0.0969,False
2,1,0,0,0,0,0,0.7455,0.1651,True
4,0,0,0,0,0,0,0.0332,-0.1295,True
1,1,0,0,0,0,0,-0.9738,0.5061,True
1,1,0,0,0,0,0,-0.9142,0.4328,True
1,1,0,0,0,0,0,-0.6398,0.2463,True
2,1,0,0,0,0,0,-0.9142,0.396,True
3,0,0,0,1,0,0,0.3755,-0.2594,True
3,1,0,0,0,0,0,-0.4608,0.3521,True
2,1,0,0,0,0,0,-0.9142,0.4739,True
6,0,0,0,0,0,0,0.9205,-0.3931,True
4,1,0,0,0,0,0,-0.7231,-0.1003,True
3,1,0,0,0,0,0,-0.3033,-0.264,True
1,1,0,0,0,0,0,-1.1506,0.7543,True
3,1,0,0,0,0,0,-0.7231,0.29100000000000004,True
2,1,0,0,0,0,0,-0.4608,0.0905,True
5,1,0,0,0,0,0,-0.3033,-0.3114,True
3,0,0,0,0,0,0,0.5108,-0.4767,True
5,0,0,0,0,0,0,0.0534,-0.4381,True
6,0,0,0,0,0,1,0.5108,-0.38299999999999995,True
5,0,0,0,0,0,0,1.9993,-0.5435,True
5,0,0,0,0,0,0,-0.3621,-0.2177,True
6,0,0,0,0,0,0,-0.3621,-0.2177,True
0,1,0,0,1,0,0,0.2001,0.2392,False
5,1,0,0,0,1,0,0.5108,-0.4263,True
0,1,0,0,0,0,0,0.0332,0.6019,False
2,1,0,0,0,0,0,0.7365,0.4506,True
1,0,0,0,0,0,0,-1.0254,0.1211,True
5,0,0,0,0,0,0,0.5108,-0.4273,True
9,0,0,0,0,0,1,0.5108,-0.38299999999999995,True
6,0,0,0,0,0,0,1.4347,-0.2098,True
