"","BookVal","MinorBlem","MajorBlem","PowerSeller","IDSeller","Sealed","NegFeedback","ReservePriceFrac","NBidders","FinalPrice"
"1",18.95,0,0,0,0,0,0,0.368865435356201,2,15.5
"2",43.5,0,0,1,0,0,0,0.229885057471264,6,41
"3",24.5,0,0,1,0,0,0,1.02,1,24.99
"4",34.5,1,0,0,0,0,0,0.721739130434783,1,24.9
"5",99.5,0,0,0,0,0,1,0.167236180904523,4,72.65
"6",9.5,0,0,0,0,0,0,1.20947368421053,2,17.52
"7",18.5,1,0,0,0,0,0,0.872972972972973,2,20.4
"8",9.5,0,0,0,0,0,0,1.20947368421053,2,14.52
"9",39.5,0,0,1,0,0,0,0.632658227848101,2,26.71
"10",16.5,0,0,0,0,1,0,0.602424242424243,6,19.47
"11",18.95,0,0,1,0,0,0,1.05435356200528,0,NA
"12",15,1,0,0,0,0,1,0.365333333333333,3,12.74
"13",57.5,0,0,0,0,0,0,0.052,5,51
"14",34.5,0,0,0,0,0,0,0.173623188405797,3,31.25
"15",25.5,0,0,1,0,0,0,0.705490196078431,1,17.99
"16",16.5,0,0,0,0,0,0,0.256969696969697,5,14.52
"17",16.5,0,0,0,0,0,0,0.256969696969697,2,13.34
"18",59.5,0,0,1,0,1,0,0.250420168067227,8,65.95
"19",29.5,0,0,1,0,1,0,0.505084745762712,5,32.5
"20",57.5,0,0,1,0,1,0,0.259130434782609,7,51.28
"21",29.5,0,0,1,0,1,0,0.505084745762712,5,31.61
"22",22.5,0,0,1,0,1,0,0.662222222222222,3,30.95
"23",175,0,0,0,0,0,1,0.0439428571428571,6,134.2
"24",49.5,0,0,0,0,0,0,0.838181818181818,3,48.01
"25",24.5,0,0,0,0,0,0,1.51836734693878,0,NA
"26",8.5,0,0,0,0,0,0,1.23411764705882,1,10.49
"27",7.5,0,0,0,0,0,0,1.132,2,9.6
"28",69.5,0,0,0,0,0,0,0.0933812949640288,7,58.49
"29",99.5,0,0,0,0,0,0,0.0652261306532663,7,62.05
"30",39.5,0,1,0,0,0,0,0.164303797468354,6,19.58
"31",12.5,0,0,1,0,0,0,1.3192,1,16.49
"32",49.5,0,0,0,0,0,0,0.14020202020202,6,49.95
"33",12.5,0,0,1,0,0,0,0.4392,4,11.51
"34",8.5,0,0,1,0,0,0,1.17529411764706,1,9.99000000000001
"35",9.5,0,0,1,0,0,0,1.05157894736842,3,11.01
